Id,PM Interface Element ID,Total Effort (Hours),Rework Effort (Hours)
3850448,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3850438,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3850427,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3850423,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3843424,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3834214,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3834191,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3828245,BM-00041546_004 | 10313231 | V363x_MY22_SW_Plan | 1288277 | 2.1.9,0,0
3802857,,0,0
3785460, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3774136,BM-00063068_005 | 10178350 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3773195,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3751222,,0,0
3740138,BM-00081137_009 | 10496382 | P702 Timeline PMINT | 1423340 | 2.1.9,0,0
3725976,BM-00047410_005 | 10087843 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3725970,BM-00047410_005 | 10087842 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3725965,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3725956,BM-00047410_005 | 10087840 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3721289,,0,0
3677594,BM-00061099_005 | 10302631 | B2e_MS_Project_Plan | 1368164 | 2.1.9,0,0
3677586,BM-00061099_005 | 10302630 | B2e_MS_Project_Plan | 1368164 | 2.1.9,0,0
3677580,BM-00061099_005 | 10302629 | B2e_MS_Project_Plan | 1368164 | 2.1.9,0,0
3677568,BM-00061099_005 | 10302628 | B2e_MS_Project_Plan | 1368164 | 2.1.9,0,0
3677555,BM-00061099_005 | 9252049 | B2e_MS_Project_Plan | 1368164 | 2.1.9,0,0
3670574,,0,0
3662843,,0,0
3651029,,0,0
3646068,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3589462,BM-00081137_009 | 10284757 | P702 Timeline PMINT | 1423340 | 2.1.9,0,0
3574756,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3552394,,0,0
3544879,BM-00080593_009 | 9870943 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9,0,0
3536730,,0,0
3518094,,0,0
3500155,BM-00052389_001 | 5676887 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
3487611,,0,0
3479575,BM-00052389_001 | 5676887 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
3429256,BM-00081137_009 | 10496385 | P702 Timeline PMINT | 1423340 | 2.1.9,0,0
3429237,BM-00081137_009 | 10284756 | P702 Timeline PMINT | 1423340 | 2.1.9,0,0
3424659,,0,0
3424656,,0,0
3418598,BM-00080593_009 | 9410449 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9,0,0
3418596,BM-00080593_009 | 9410448 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9,0,0
3418594,BM-00080593_009 | 9410447 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9,0,0
3418592,BM-00080593_009 | 9410446 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9,0,0
3418590,BM-00080593_009 | 9410445 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9,0,0
3418561,BM-00080593_009 | 9183518 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9,0,0
3397150, | 10 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3397148,,0,0
3397146, | 9 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3397144, | 8 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3397142, | 7 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3397140, | 6 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3392200,BM-00080593_009 | 9874197 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9,0,0
3377878,BM-00063068_005 | 9373902 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3377806,BM-00063068_005 | 6540630 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3377804,BM-00063068_005 | 6540625 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3377802,BM-00063068_005 | 6540621 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3377800,BM-00063068_005 | 6540618 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3377798,BM-00063068_005 | 6540615 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3377796,BM-00063068_005 | 6540612 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3377794,BM-00063068_005 | 6540608 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3377791,BM-00063068_005 | 6540605 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3377751,BM-00063068_005 | 9371945 | V363x_SW_Development_Plan | 1316645 | 2.1.9,0,0
3377726,BM-00047410_005 | 9375132 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3377719,BM-00047410_005 | 9375131 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3370356,BM-00052389_001 | 5676887 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
3327365,BM-00047410_005 | 9375130 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3327363,BM-00047410_005 | 9375129 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3327251,BM-00047410_005 | 9375128 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3327249,BM-00047410_005 | 9375127 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3327247,BM-00047410_005 | 9375126 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3323102,,0,0
3320302,,0,0
3320298,,0,0
3317007,,0,0
3275202,BM-00052389_001 | 5676887 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
3269831,BM-00047410_005 | 9375125 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3268030,BM-00061099_005 | 9252048 | B2e_MS_Project_Plan | 1368164 | 2.1.9,0,0
3268028,BM-00061099_005 | 9252047 | B2e_MS_Project_Plan | 1368164 | 2.1.9,0,0
3268025,BM-00061099_005 | 9135578 | B2e_MS_Project_Plan | 1368164 | 2.1.9,0,0
3268022,BM-00061099_005 | 9135577 | B2e_MS_Project_Plan | 1368164 | 2.1.9,0,0
3262714,,0,0
3172077,BM-00061099_005 | 9135576 | B2e_MS_Project_Plan | 1368164 | 2.1.9,0,0
3155178,BM-00052389_001 | 5676887 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
3155176,BM-00052389_001 | 5676887 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
3149831,,0,0
3083401,,0,0
2992541,,0,0
2961541,BM-00061099_005 | 8295817 | B2e_MS_Project_Plan | 1368164 | 2.1.8.2,0,0
2961315,BM-00061099_005 | 8293628 | B2e_MS_Project_Plan | 1368164 | 2.1.8.2,0,0
2961313,BM-00061099_005 | 8293629 | B2e_MS_Project_Plan | 1368164 | 2.1.8.2,0,0
2947490,BM-00061099_005 | 8293627 | B2e_MS_Project_Plan | 1368164 | 2.1.8.2,0,0
2901218,,0,0
2893492,BM-00052389_001 | 5676887 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
2879542,,0,0
2737509,,0,0
2728246,,0,0
2713343,,0,0
2640303,,0,0
2616480,,0,0
2586420,,0,0
2570851,,0,0
2553935,,0,0
2553906,,0,0
2492326,BM-00041546_004 | 7376621 | V363x_MY22_SW_Plan | 1288277 | 2.1.8,0,0
2407230,BM-00041546_004 | 7144967 | V363x_MY22_SW_Plan | 1288277 | 2.1.8,0,0
2405680,,0,0
2362242,,0,0
2290707,BM-00041546_004 | 6546496 | V363x_MY22_SW_Plan | 1288277 | 2.1.7.2,0,0
2290702,BM-00041546_004 | 6546495 | V363x_MY22_SW_Plan | 1288277 | 2.1.7.2,0,0
2290055,BM-00041546_004 | 6546493 | V363x_MY22_SW_Plan | 1288277 | 2.1.7.2,0,0
2227830,BM-00041546_004 | 6546494 | V363x_MY22_SW_Plan | 1288277 | 2.1.7.2,0,0
1958659,BM-00041546_004 | 5787874 | V363x_MY22_SW_Plan | 1288277 | 2.1.5,0,0
1949791,,0,0
1949781,,0,0
1949774,,0,0
1949638,,0,0
1949580,,0,0
1944222,,0,0
1943191,,0,0
1925352,,0,0
1908000,BM-00052389_001 | 5676887 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
1907999,BM-00052389_001 | 5676886 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
1879466,BM-00052389_001 | 5676885 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
1879464,BM-00052389_001 | 5676884 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
1879462,BM-00052389_001 | 5676883 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
1879461,BM-00052389_001 | 5676882 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
1879458,BM-00052389_001 | 5678470 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
1879457,BM-00052389_001 | 5676881 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
1879453,BM-00052389_001 | 5676880 | Ford_CMP2_Software_Schedule | 1285021 | 2.1.5,0,0
1879450,,0,0
1784073,,0,0
1735031,,0,0
1706825,,0,0
1697605,,0,0
1611891,BM-00041546_004 | 5727362 | V363x_MY22_SW_Plan | 1288277 | 2.1.5,0,0
1611867,BM-00041546_004 | 5727360 | V363x_MY22_SW_Plan | 1288277 | 2.1.5,0,0
1611670,BM-00038174_004 | 5546490 | V363N_EPB_MY20_SW_Plan | 1185236 | 2.1.5,0,0
1611667,BM-00038174_004 | 5546489 | V363N_EPB_MY20_SW_Plan | 1185236 | 2.1.5,0,0
1586600,,0,0
1583320,,0,0
1583186,,0,0
1568063,,0,0
1563102,,0,0
1555319,,0,0
1551010,BM-00041546_004 | 5727363 | V363x_MY22_SW_Plan | 1288277 | 2.1.5,0,0
1550996,BM-00041546_004 | 5727361 | V363x_MY22_SW_Plan | 1288277 | 2.1.5,0,0
1535237,,0,0
1507352,,0,0
1507340,,0,0
1498831,,0,0
1498775,,0,0
1498766,,0,0
1498763,,0,0
1498760,,0,0
1498757,,0,0
1496237,,0,0
1496232,,0,0
1496228,,0,0
1496218,,0,0
1496213,,0,0
1496209,,0,0
1496207,,0,0
1496205,,0,0
1496200,,0,0
1496192,,0,0
1496187,,0,0
1496175,,0,0
1496172,,0,0
1496166,,0,0
1496164,,0,0
1496162,,0,0
1496157,,0,0
1496155,,0,0
1496143,,0,0
1496139,,0,0
1496131,,0,0
1496128,,0,0
1496125,,0,0
1496121,,0,0
1496087,,0,0
1496085,,0,0
1496083,,0,0
1496082,,0,0
1496075,,0,0
1496048,,0,0
1496044,,0,0
1496039,,0,0
1496022,,0,0
1495743,,0,0
1461752,,0,0
1226470,,0,0
1226462,,0,0
1222489,BM-00038174_004 | 4563105 | V363N_EPB_MY20_SW_Plan | 1185236 | 2.1.5,0,0
